Id,SalePrice
1461,122125.62
1462,153927.2
1463,185690.22
1464,189930.0
1465,191546.8
1466,177908.8
1467,174712.7
1468,170078.33
1469,176942.22
1470,122923.43
1471,204068.27
1472,98077.16
1473,101615.69
1474,157179.5
1475,128722.82
1476,354967.66
1477,247128.95
1478,295998.88
1479,287982.47
1480,403687.22
1481,292053.34
1482,209340.45
1483,174628.0
1484,180102.03
1485,178661.5
1486,193051.14
1487,321708.97
1488,250537.69
1489,207233.16
1490,239876.12
1491,188126.53
1492,103261.9
1493,166964.47
1494,279719.5
1495,285402.1
1496,235224.17
1497,182047.77
1498,170434.34
1499,172051.55
1500,167692.88
1501,174520.81
1502,159845.94
1503,291340.62
1504,235239.94
1505,214019.17
1506,192029.08
1507,260190.42
1508,192805.28
1509,158885.47
1510,144375.11
1511,148018.61
1512,176167.48
1513,149021.19
1514,155728.55
1515,199090.67
1516,150318.33
1517,152336.12
1518,155730.81
1519,232561.3
1520,132250.52
1521,141912.78
1522,157265.77
1523,111037.31
1524,118008.55
1525,127822.34
1526,117894.77
1527,102902.61
1528,128478.28
1529,154377.2
1530,161308.45
1531,114417.914
1532,108621.26
1533,144428.78
1534,120730.46
1535,142575.23
1536,112647.72
1537,76127.67
1538,159280.36
1539,204088.94
1540,129423.6
1541,142426.0
1542,143066.0
1543,193058.06
1544,86336.65
1545,111417.016
1546,125066.94
1547,126926.4
1548,135408.69
1549,104629.97
1550,149144.08
1551,117420.79
1552,149563.2
1553,123408.6
1554,115660.73
1555,157905.48
1556,72383.56
1557,116569.71
1558,93625.52
1559,98700.38
1560,148710.9
1561,138127.69
1562,133154.97
1563,130574.72
1564,156613.83
1565,150902.77
1566,206485.2
1567,79182.09
1568,210915.17
1569,133290.77
1570,133289.69
1571,126488.71
1572,139882.58
1573,212793.67
1574,125184.484
1575,201287.31
1576,235112.88
1577,199905.92
1578,145355.39
1579,143174.88
1580,188384.31
1581,148823.9
1582,129609.48
1583,302857.78
1584,222834.38
1585,145148.28
1586,68637.586
1587,102979.21
1588,138435.81
1589,96956.28
1590,131136.08
1591,97884.22
1592,121589.37
1593,120233.18
1594,144354.89
1595,120165.3
1596,219209.27
1597,204770.36
1598,196460.23
1599,173177.88
1600,175479.72
1601,76972.63
1602,112776.2
1603,78328.2
1604,272481.4
1605,249921.28
1606,167661.72
1607,201926.16
1608,216041.67
1609,193392.28
