Id,SalePrice
1461,122587.945
1462,163086.06
1463,182754.62
1464,192348.95
1465,191115.25
1466,176806.11
1467,171461.16
1468,166400.78
1469,191061.53
1470,123186.8
1471,204971.36
1472,98084.93
1473,98208.336
1474,156682.27
1475,131065.72
1476,366910.5
1477,252515.77
1478,291986.0
1479,292200.12
1480,513999.6
1481,301876.0
1482,206627.16
1483,173613.36
1484,169616.38
1485,173739.88
1486,192518.31
1487,333314.97
1488,246170.5
1489,196394.22
1490,217492.97
1491,191023.52
1492,95256.836
1493,192452.39
1494,300821.2
1495,289206.78
1496,241408.19
1497,185163.3
1498,165425.69
1499,163614.1
1500,155478.67
1501,177159.4
1502,151427.8
1503,308055.8
1504,236643.73
1505,222151.72
1506,183944.5
1507,234411.31
1508,192949.62
1509,156280.53
1510,141468.62
1511,140432.22
1512,170655.83
1513,141880.66
1514,162475.31
1515,201573.83
1516,163575.88
1517,160865.6
1518,130890.77
1519,226609.69
1520,133559.58
1521,135949.75
1522,169163.02
1523,112505.27
1524,124876.195
1525,126610.55
1526,121453.21
1527,110414.9
1528,132212.1
1529,147834.28
1530,176438.98
1531,109572.586
1532,103977.39
1533,150698.38
1534,124264.3
1535,151113.86
1536,113075.44
1537,75940.96
1538,166529.36
1539,217876.66
1540,100181.78
1541,145376.33
1542,143035.5
1543,200813.23
1544,82966.08
1545,104514.06
1546,127935.1
1547,134553.62
1548,133617.98
1549,112931.32
1550,136025.47
1551,113478.266
1552,134311.45
1553,158352.58
1554,115551.97
1555,168215.22
1556,85169.83
1557,120841.77
1558,97673.29
1559,87649.34
1560,139850.2
1561,145010.95
1562,128521.22
1563,122797.766
1564,156346.02
1565,145224.88
1566,241376.72
1567,70932.38
1568,220797.97
1569,138992.1
1570,131738.14
1571,127439.47
1572,144218.62
1573,256153.58
1574,115930.2
1575,221430.8
1576,236902.05
1577,186689.52
1578,153921.72
1579,144428.67
1580,188109.06
1581,146623.05
1582,127242.19
1583,340836.06
1584,225782.19
1585,141840.34
1586,78432.664
1587,95515.18
1588,150554.73
1589,100190.63
1590,135565.88
1591,99578.29
1592,121906.18
1593,131534.19
1594,143465.47
1595,111901.36
1596,232636.8
1597,196820.86
1598,205015.8
1599,188682.22
1600,184065.36
1601,78083.27
1602,109500.875
1603,83902.08
1604,272249.38
1605,255919.48
1606,166642.33
1607,183733.67
1608,223365.78
1609,185642.66
1610,151147.78
1611,145586.73
1612,173742.3
1613,163281.88
1614,126315.73
1615,92515.89
1616,72828.27
1617,94958.02
1618,126835.62
1619,141312.45
1620,161670.92
1621,144661.92
1622,138305.39
1623,274026.2
1624,216993.78
1625,128655.71
1626,168056.14
1627,186317.47
1628,278106.47
1629,177991.78
1630,380486.06
1631,216577.81
1632,236139.98
1633,168536.05
1634,182887.42
1635,183328.0
1636,156721.89
1637,181650.64
1638,203507.89
1639,178812.67
1640,259179.19
1641,174378.61
1642,229420.62
1643,227484.39
1644,227398.45
1645,182528.28
1646,155021.19
1647,164639.72
1648,130459.85
1649,137051.47
1650,121439.62
1651,127315.82
1652,96708.484
1653,97455.24
1654,147194.48
1655,147075.98
1656,146262.5
1657,150339.0
1658,147690.9
1659,136632.03
1660,152344.92
1661,450718.44
1662,397438.12
1663,382050.25
1664,377632.62
1665,318290.2
1666,330773.25
1667,358963.84
1668,340667.84
1669,301271.6
1670,347262.5
1671,252417.12
1672,505885.7
1673,301952.78
1674,249559.06
1675,186610.64
1676,188027.14
1677,215060.16
1678,503146.47
1679,401381.62
1680,323036.97
1681,266303.97
1682,304220.44
1683,182185.05
1684,171842.67
1685,174141.33
1686,171348.98
1687,163728.2
1688,185249.17
1689,188257.7
1690,189904.9
1691,177833.17
1692,274209.66
1693,164716.78
1694,184499.27
1695,165137.1
1696,280390.66
1697,176784.62
1698,359487.16
1699,331175.53
1700,239017.0
1701,262974.6
1702,249929.5
1703,249001.31
1704,292336.9
1705,237466.42
1706,461172.03
1707,221937.28
1708,201845.05
1709,276717.9
1710,232053.02
1711,271416.94
1712,259331.64
1713,262541.47
1714,219200.84
1715,205525.25
1716,184807.31
1717,174315.58
1718,136931.97
1719,204964.88
1720,258043.64
1721,172020.44
1722,126960.086
1723,154123.08
1724,226396.25
1725,231701.34
1726,187615.55
1727,166321.88
1728,172934.55
1729,164496.81
1730,163075.73
1731,123550.36
1732,129491.33
1733,123505.78
1734,127523.875
1735,131606.66
1736,116641.42
1737,321193.66
1738,212321.16
1739,278158.1
1740,226552.27
1741,191169.98
1742,177349.97
1743,175903.23
1744,282559.75
1745,213841.23
1746,217046.88
1747,216164.62
1748,222137.86
1749,149165.86
1750,126782.445
1751,233475.12
1752,122926.08
1753,142598.52
1754,197699.88
1755,164022.42
1756,132622.22
1757,122894.8
1758,140455.45
1759,169253.7
1760,163884.03
1761,145887.77
1762,172877.48
1763,178197.66
1764,114769.36
1765,169699.28
1766,176058.48
1767,220507.58
1768,144878.4
1769,180873.2
1770,148000.39
1771,127258.11
1772,135752.8
1773,129919.33
1774,140193.97
1775,137378.12
1776,124191.2
1777,113015.15
1778,140076.89
1779,111661.93
1780,173288.55
1781,134595.11
1782,101409.23
1783,140353.72
1784,99544.32
1785,127960.82
1786,150458.55
1787,165656.3
1788,57552.453
1789,105875.44
1790,85308.11
1791,161175.14
1792,156050.69
1793,133487.1
1794,146957.7
1795,139621.58
1796,127525.56
1797,112526.79
1798,124013.65
1799,113958.414
1800,124461.375
1801,125817.984
1802,145459.45
1803,154865.39
1804,137275.27
1805,136524.06
1806,120016.05
1807,136784.5
1808,128473.23
1809,123487.49
1810,143829.4
1811,104506.28
1812,106456.805
1813,124112.18
1814,101907.01
1815,58935.246
1816,96370.414
1817,118548.94
1818,154882.81
1819,124263.43
1820,46889.066
1821,120557.14
1822,168036.58
1823,30059.879
1824,139349.52
1825,128214.58
1826,94079.01
1827,105174.53
1828,136852.62
1829,111972.15
1830,141919.72
1831,165057.3
1832,91154.65
1833,147156.61
1834,123042.266
1835,148121.98
1836,129965.83
1837,95609.76
1838,126369.82
1839,84708.97
1840,165249.61
1841,152460.47
1842,77060.63
1843,134921.02
1844,137003.62
1845,133019.3
1846,155982.27
1847,161919.06
1848,53754.56
1849,117109.53
1850,123239.26
1851,153521.31
1852,128803.01
1853,134620.53
1854,171289.12
1855,143130.6
1856,217382.1
1857,178737.38
1858,131789.3
1859,122510.61
1860,151456.61
1861,122510.61
1862,278066.06
1863,273840.62
1864,273840.62
1865,365518.8
1866,344000.6
1867,245634.0
1868,294734.62
1869,204167.94
1870,256039.55
1871,254798.53
1872,170123.52
1873,227958.72
1874,141671.97
1875,205859.94
1876,190118.81
1877,216549.45
1878,214623.11
1879,131196.1
1880,133118.3
1881,237381.27
1882,248997.58
1883,193948.58
1884,209208.19
1885,251282.62
1886,293379.66
1887,215926.84
1888,279243.12
1889,164954.38
1890,132280.78
1891,142700.22
1892,108696.125
1893,127418.875
1894,127453.914
1895,141112.53
1896,125942.66
1897,105979.56
1898,113200.31
1899,164051.16
1900,159340.62
1901,176643.34
1902,147570.89
1903,208507.77
1904,147139.48
1905,194082.34
1906,174336.94
1907,212619.67
1908,119535.32
1909,136640.39
1910,125095.44
1911,218530.36
1912,302377.44
1913,151295.81
1914,53075.043
1915,338378.97
1916,66757.086
1917,265267.1
1918,136067.4
1919,160936.14
1920,148101.64
1921,423271.53
1922,341601.22
1923,207621.38
1924,225473.81
1925,209833.73
1926,403261.56
1927,136884.34
1928,163437.83
1929,124023.69
1930,126781.234
1931,144930.38
1932,142208.95
1933,173243.28
1934,182169.11
1935,174180.61
1936,189868.97
1937,178269.23
1938,174704.81
1939,238606.23
1940,190236.89
1941,171920.36
1942,181602.47
1943,207794.31
1944,325991.56
1945,367183.4
1946,162035.72
1947,324852.7
1948,180251.66
1949,239808.38
1950,182616.77
1951,279050.4
1952,222150.36
1953,163748.36
1954,186225.77
1955,134804.83
1956,280110.47
1957,158627.4
1958,319680.97
1959,134663.25
1960,116759.63
1961,118907.875
1962,98765.76
1963,107847.516
1964,109033.38
1965,143051.52
1966,146809.22
1967,312132.7
1968,457101.8
1969,399550.38
1970,464913.75
1971,450309.62
1972,379631.62
1973,265947.1
1974,326137.72
1975,406050.03
1976,271564.94
1977,361998.28
1978,406283.25
1979,329349.62
1980,194080.69
1981,375610.53
1982,235972.11
1983,214879.95
1984,166418.16
1985,231632.3
1986,228587.52
1987,184372.47
1988,175891.33
1989,189755.14
1990,215298.4
1991,240836.69
1992,213176.55
1993,171361.78
1994,239368.44
1995,180091.62
1996,246669.53
1997,306026.4
1998,348713.78
1999,247086.42
2000,316881.38
2001,260163.78
2002,250723.94
2003,259358.84
2004,279849.66
2005,230251.38
2006,231049.31
2007,252245.16
2008,208768.66
2009,187597.95
2010,189584.39
2011,138878.14
2012,176895.67
2013,183728.97
2014,185881.89
2015,204498.14
2016,191360.08
2017,197280.14
2018,117713.21
2019,133444.36
2020,112537.94
2021,114008.875
2022,177697.7
2023,137902.22
2024,245014.14
2025,394408.75
2026,178704.38
2027,152907.3
2028,155354.33
2029,173008.4
2030,276153.72
2031,262518.62
2032,277090.53
2033,275742.28
2034,167376.08
2035,213759.62
2036,203898.12
2037,214980.84
2038,317676.28
2039,230118.66
2040,362081.78
2041,264702.75
2042,200559.14
2043,169367.58
2044,169228.72
2045,214593.75
2046,138675.08
2047,145047.67
2048,137577.7
2049,137044.9
2050,177859.9
2051,107358.14
2052,127515.6
2053,145748.33
2054,84027.3
2055,163527.0
2056,129577.87
2057,114758.664
2058,231560.4
2059,131193.31
2060,167413.83
2061,183388.14
2062,133029.98
2063,114038.664
2064,141407.17
2065,120531.55
2066,172020.08
2067,117096.46
2068,144948.86
2069,87233.95
2070,112711.164
2071,95146.836
2072,111232.875
2073,139278.7
2074,183934.4
2075,158764.27
2076,124496.85
2077,147032.4
2078,127687.15
2079,128637.12
2080,119619.46
2081,124840.82
2082,126998.086
2083,143640.4
2084,113732.87
2085,121499.98
2086,115238.38
2087,121561.586
2088,104148.06
2089,77045.305
2090,137453.52
2091,120226.64
2092,133757.42
2093,122812.18
2094,129556.54
2095,150418.6
2096,80572.305
